Disease,bile duct ligation,Disease,bile duct disease
Disease,bronchioloalveolar carcinoma,Disease,bronchiolo-alveolar adenocarcinoma
Disease,Burkitt Lymphoma,Disease,Burkitt's lymphoma
Disease,carcinoma of blood,Disease,hematologic cancer
Disease,carcinoma of bone marrow,Disease,bone marrow cancer
Disease,Carcinoma of brain,Disease,brain cancer
Disease,carcinoma of breast,Disease,breast cancer
Disease,carcinoma of endometrium,Disease,endometrial cancer
Disease,Carcinoma of esophagus,Disease,esophageal carcinoma
Disease,Carcinoma of gastrointestinal tract,Disease,gastrointestinal system cancer
Disease,Carcinoma of germ cell,Disease,germ cell cancer
Disease,carcinoma of hepatocyte,Disease,hepatocellular carcinoma
Disease,carcinoma of kidney,Disease,kidney cancer
Disease,Carcinoma of large intestine,Disease,large intestine cancer
Disease,Carcinoma of liver,Disease,liver cancer
Disease,Carcinoma of mammary gland,Disease,breast cancer
Disease,carcinoma of melanocyte,Disease,melanoma
Disease,Carcinoma of mouth,Disease,oral cavity cancer
Disease,Carcinoma of muscle,Disease,muscle cancer
Disease,carcinoma Of nasopharynx,Disease,nasopharynx carcinoma
Disease,carcinoma of neuron,Disease,central nervous system cancer
Disease,Carcinoma of pancreas,Disease,pancreatic cancer
Disease,carcinoma of plasma cell,Disease,myeloma
Disease,carcinoma of skin,Disease,skin cancer
Disease,Carcinoma of stomach,Disease,stomach cancer
Disease,carcinoma of thyroid,Disease,thyroid cancer
Disease,carcinoma of thyroid gland,Disease,thyroid cancer
Disease,"Carcinoma, Non-Small-Cell Lung",Disease,non-small cell lung carcinoma
Disease,"Carcinoma, Small Cell",Disease,small cell carcinoma
Disease,"Carcinoma, Squamous Cell",Disease,squamous cell carcinoma
Disease,Cardiomyopathy,Disease,cardiomyopathy
Disease,Cholesteatoma,Disease,cholesteatoma
Disease,chondrosarcoma,Disease,chondrosarcoma
Disease,chronic myeloid leukemia,Disease,chronic myeloid leukemia
Disease,Chronic Obstructive Pulmonary Disease,Disease,chronic obstructive pulmonary disease
Disease,cirrhosis,Disease,liver cirrhosis
Disease,colitis,Disease,ulcerative colitis
Disease,colorectal adenoma,Disease,colorectal cancer
Disease,Crohn,Disease,Crohn's disease
